student,part1,part2,part3,part4,part5,part6,part7,revision
0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.0
4,1.0,1.0,0.9,0.8,0.0,0.0,0.0,0.0
5,0.8,0.7,0.3,0.6,0.2,0.3,0.2,0.0
6,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.5
7,1.0,1.0,1.0,0.9,0.8,0.9,0.7,0.5
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,1.0,1.0,1.0,1.0,0.9,1.0,0.7,0.6
10,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,1.0,1.0,0.8,1.0,0.9,0.9,0.8,0.0
13,0.5,1.0,0.8,0.8,0.4,0.8,0.3,0.5
14,1.0,1.0,1.0,1.0,1.0,0.7,0.6,0.0
15,1.0,1.0,0.9,1.0,0.8,0.6,0.7,0.0
16,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
17,1.0,1.0,0.6,0.0,0.2,0.3,0.6,0.0
18,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.6
19,0.8,1.0,0.7,0.9,0.8,0.5,0.8,0.3
20,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,1.0,0.6,1.0,0.8,1.0,0.8,0.9
22,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
23,0.9,1.0,1.0,1.0,0.8,0.8,0.9,0.3
24,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0
25,0.8,0.7,0.8,0.8,0.5,0.5,0.5,0.0
26,1.0,1.0,0.8,0.9,0.8,1.0,0.8,0.5
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2
28,1.0,1.0,1.0,0.7,0.8,0.8,0.8,0.2
29,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0
30,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
31,1.0,1.0,0.7,0.2,0.7,1.0,0.4,0.0
32,1.0,1.0,0.9,0.9,0.7,0.3,0.3,0.1
33,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.0
34,1.0,0.8,0.7,0.8,0.7,0.7,0.9,0.1
35,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.0
36,1.0,1.0,1.0,1.0,0.8,0.9,0.6,0.5
37,1.0,1.0,1.0,0.8,0.7,0.9,0.4,0.2
38,0.9,1.0,1.0,1.0,1.0,0.2,0.0,0.0
39,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.0
42,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0,1.0,1.0,1.0,0.3,0.8,0.4,0.5
44,1.0,1.0,1.0,1.0,0.7,0.9,0.5,0.6
45,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.0
46,1.0,1.0,1.0,1.0,0.8,0.9,0.5,0.3
47,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
48,1.0,1.0,0.9,1.0,0.8,0.9,0.9,0.5
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,0.3,0.0,0.2,0.1,0.0
52,0.9,0.7,0.8,0.2,0.1,0.0,0.0,0.0
53,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.0
54,1.0,0.9,0.9,0.9,0.8,0.7,0.8,0.0
55,0.9,0.6,0.6,0.8,0.3,0.7,0.5,0.4
56,1.0,0.9,0.5,0.7,0.2,0.3,0.5,0.4
57,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,0.8,0.0,0.9,0.1,0.6,0.6,0.0,0.0
60,1.0,1.0,1.0,0.9,0.7,1.0,1.0,0.0
61,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0
62,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
63,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.1
67,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
68,1.0,1.0,1.0,1.0,0.6,0.7,0.3,0.0
69,1.0,0.9,0.8,0.8,0.8,0.7,0.6,0.3
70,1.0,1.0,1.0,0.8,0.8,0.6,0.1,0.2
71,0.9,0.8,1.0,0.8,0.8,0.8,0.8,0.0
72,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.0
73,0.8,0.8,0.6,0.9,0.6,0.7,0.5,0.6
74,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
75,1.0,1.0,0.0,0.0,0.0,0.3,0.4,0.0
76,0.9,1.0,1.0,1.0,0.5,0.8,0.9,0.0
77,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
78,1.0,1.0,1.0,1.0,0.9,0.9,0.3,0.0
79,1.0,1.0,0.7,0.8,0.6,0.5,0.4,0.0
80,1.0,1.0,1.0,1.0,0.8,0.9,0.6,0.0
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
82,0.9,0.9,0.6,0.8,0.7,0.7,0.6,0.4
83,0.8,1.0,0.6,1.0,0.0,0.8,0.4,0.1
84,1.0,1.0,0.8,1.0,1.0,1.0,0.2,0.2
85,0.9,1.0,0.9,1.0,0.8,0.5,0.7,0.0
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
87,1.0,1.0,0.8,0.9,0.8,0.9,0.7,0.0
88,0.7,0.7,0.6,0.6,0.5,0.4,0.3,0.0
89,0.9,0.7,0.3,0.0,0.5,0.4,0.2,0.0
90,1.0,1.0,1.0,1.0,0.7,0.9,0.6,0.1
91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
92,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
93,1.0,0.9,1.0,1.0,1.0,0.8,0.7,0.5
94,0.9,0.8,0.7,0.8,0.8,0.8,0.7,0.4
95,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
96,0.9,1.0,1.0,0.5,0.5,0.6,0.6,0.5
